scenario,method,hour,mean_cumulative_false_alert_probability,n_defined
S2,PaFAR-F,20,0.04541919999999997,500
S2,PaFAR-F,21,0.04743560000000002,500
S2,PaFAR-F,22,0.049434399999999976,500
S2,PaFAR-F,23,0.051344799999999975,500
S2,PaFAR-F,24,0.053260399999999965,500
S2,PaFAR-F,25,0.05513879999999998,500
S2,PaFAR-F,26,0.05702319999999995,500
S2,PaFAR-F,27,0.05888359999999999,500
S2,PaFAR-F,28,0.060726800000000004,500
S2,PaFAR-F,29,0.06252920000000003,500
S2,PaFAR-F,30,0.06434799999999993,500
S2,PaFAR-F,31,0.06612479999999998,500
S2,PaFAR-F,32,0.0678944,500
S2,PaFAR-F,33,0.06963799999999999,500
S2,PaFAR-F,34,0.07126319999999998,500
S2,PaFAR-F,35,0.07292239999999996,500
S2,PaFAR-F,36,0.07442399999999993,500
S2,PaFAR-F,37,0.07589480000000003,500
S2,PaFAR-F,38,0.07728679999999995,500
S2,PaFAR-F,39,0.07856600000000002,500
S2,PaFAR-F,40,0.07972559999999994,500
S2,PaFAR-F,41,0.0808464,500
S2,PaFAR-F,42,0.08176519999999997,500
S2,PaFAR-F,43,0.08259239999999995,500
S2,PaFAR-F,44,0.08333200000000007,500
S2,PaFAR-F,45,0.08398880000000007,500
S2,PaFAR-F,46,0.08456839999999999,500
S2,PaFAR-F,47,0.08511359999999991,500
S2,PaFAR-F,48,0.08561399999999995,500
S2,PaFAR-F,49,0.086098,500
S2,PaFAR-F,50,0.08652360000000003,500
S2,PaFAR-F,51,0.08694800000000004,500
S2,PaFAR-F,52,0.0873944000000001,500
S2,PaFAR-F,53,0.08779480000000009,500
S2,PaFAR-F,54,0.08820959999999994,500
S2,PaFAR-F,55,0.08861839999999996,500
S2,PaFAR-F,56,0.08903239999999996,500
S2,PaFAR-F,57,0.0894308,500
S2,PaFAR-F,58,0.08981760000000008,500
S2,PaFAR-F,59,0.09022279999999996,500
S2,PaFAR-F,60,0.09060480000000004,500
S2,PaFAR-F,61,0.09100160000000004,500
S2,PaFAR-F,62,0.09137399999999997,500
S2,PaFAR-F,63,0.09173719999999998,500
S2,PaFAR-F,64,0.09211760000000004,500
S2,PaFAR-F,65,0.09250519999999994,500
S2,PaFAR-F,66,0.09287879999999998,500
S2,PaFAR-F,67,0.09327800000000014,500
S2,PaFAR-F,68,0.09364400000000003,500
S2,PaFAR-F,69,0.09400319999999998,500
S2,PaFAR-F,70,0.09438119999999989,500
S2,PaFAR-F,71,0.09475159999999998,500
S2,PaFAR-F,72,0.09511119999999995,500
S2,PaFAR-F,73,0.09545439999999997,500
S2,PaFAR-F,74,0.09579080000000002,500
S2,PaFAR-F,75,0.09611599999999998,500
S2,PaFAR-F,76,0.09643760000000007,500
S2,PaFAR-F,77,0.09676640000000004,500
S2,PaFAR-F,78,0.097056,500
S2,PaFAR-F,79,0.09734319999999995,500
S2,PaFAR-F,80,0.0975916,500
S2,PaFAR-F,81,0.09781999999999998,500
S2,PaFAR-F,82,0.09801879999999996,500
