panel,method,hour,estimate,lower_95,upper_95,denominator
overall,PaFAR-HC,118,0.0903743315508021,0.0839572176337242,0.0971925109624862,7480
overall,PaFAR-HC,119,0.0905080213903743,0.0840909108519554,0.0973262041807174,7480
overall,PaFAR-HC,120,0.0905080213903743,0.0840909108519554,0.0973262041807174,7480
overall,PaFAR-HC,121,0.0905080213903743,0.0840909108519554,0.0973262041807174,7480
overall,PaFAR-HC,122,0.0905080213903743,0.0840909108519554,0.0973262041807174,7480
overall,PaFAR-HC,123,0.0905080213903743,0.0840909108519554,0.0973262041807174,7480
overall,PaFAR-HC,124,0.0905080213903743,0.0840909108519554,0.0973262041807174,7480
overall,PaFAR-HC,125,0.0905080213903743,0.0840909108519554,0.0973262041807174,7480
overall,PaFAR-HC,126,0.0905080213903743,0.0840909108519554,0.0973262041807174,7480
overall,PaFAR-HC,127,0.0905080213903743,0.0840909108519554,0.0973262041807174,7480
overall,PaFAR-HC,128,0.0905080213903743,0.0840909108519554,0.0973262041807174,7480
overall,PaFAR-HC,129,0.0905080213903743,0.0840909108519554,0.0973262041807174,7480
overall,PaFAR-HC,130,0.0905080213903743,0.0840909108519554,0.0973262041807174,7480
overall,PaFAR-HC,131,0.0905080213903743,0.0840909108519554,0.0973262041807174,7480
overall,PaFAR-HC,132,0.0905080213903743,0.0840909108519554,0.0973262041807174,7480
overall,PaFAR-HC,133,0.0905080213903743,0.0840909108519554,0.0973262041807174,7480
overall,PaFAR-HC,134,0.0905080213903743,0.0840909108519554,0.0973262041807174,7480
overall,PaFAR-HC,135,0.0905080213903743,0.0840909108519554,0.0973262041807174,7480
overall,PaFAR-HC,136,0.0905080213903743,0.0840909108519554,0.0973262041807174,7480
overall,PaFAR-HC,137,0.0905080213903743,0.0840909108519554,0.0973262041807174,7480
overall,PaFAR-HC,138,0.0905080213903743,0.0840909108519554,0.0973262041807174,7480
overall,PaFAR-HC,139,0.0906417112299465,0.0843549475073814,0.0973262041807174,7480
overall,PaFAR-HC,140,0.0906417112299465,0.0843549475073814,0.0973262041807174,7480
overall,PaFAR-HC,141,0.0906417112299465,0.0843549475073814,0.0973262041807174,7480
overall,PaFAR-HC,142,0.0906417112299465,0.0843549475073814,0.0973262041807174,7480
overall,PaFAR-HC,143,0.0906417112299465,0.0843549475073814,0.0973262041807174,7480
overall,PaFAR-HC,144,0.0906417112299465,0.0843549475073814,0.0973262041807174,7480
overall,PaFAR-HC,145,0.0906417112299465,0.0843549475073814,0.0973262041807174,7480
overall,PaFAR-HC,146,0.0907754010695187,0.0843582898378372,0.0975935831665992,7480
overall,PaFAR-HC,147,0.0907754010695187,0.0843582898378372,0.0975935831665992,7480
overall,PaFAR-HC,148,0.0907754010695187,0.0843582898378372,0.0975935831665992,7480
overall,PaFAR-HC,149,0.0907754010695187,0.0843582898378372,0.0975935831665992,7480
overall,PaFAR-HC,150,0.0907754010695187,0.0843582898378372,0.0975935831665992,7480
overall,PaFAR-HC,151,0.0907754010695187,0.0843582898378372,0.0975935831665992,7480
overall,PaFAR-HC,152,0.0907754010695187,0.0843582898378372,0.0975935831665992,7480
overall,PaFAR-HC,153,0.0907754010695187,0.0843582898378372,0.0975935831665992,7480
overall,PaFAR-HC,154,0.0907754010695187,0.0843582898378372,0.0975935831665992,7480
overall,PaFAR-HC,155,0.0907754010695187,0.0843582898378372,0.0975935831665992,7480
overall,PaFAR-HC,156,0.0907754010695187,0.0843582898378372,0.0975935831665992,7480
overall,PaFAR-HC,157,0.0907754010695187,0.0843582898378372,0.0975935831665992,7480
overall,PaFAR-HC,158,0.0907754010695187,0.0843582898378372,0.0975935831665992,7480
overall,PaFAR-HC,159,0.0907754010695187,0.0843582898378372,0.0975935831665992,7480
overall,PaFAR-HC,160,0.0907754010695187,0.0843582898378372,0.0975935831665992,7480
overall,PaFAR-HC,161,0.0907754010695187,0.0843582898378372,0.0975935831665992,7480
overall,PaFAR-HC,162,0.0907754010695187,0.0843582898378372,0.0975935831665992,7480
overall,PaFAR-HC,163,0.0907754010695187,0.0843582898378372,0.0975935831665992,7480
overall,PaFAR-HC,164,0.0907754010695187,0.0843582898378372,0.0975935831665992,7480
overall,PaFAR-HC,165,0.0907754010695187,0.0843582898378372,0.0975935831665992,7480
overall,PaFAR-HC,166,0.0907754010695187,0.0843582898378372,0.0975935831665992,7480
overall,PaFAR-HC,167,0.0907754010695187,0.0843582898378372,0.0975935831665992,7480
overall,PaFAR-HC,168,0.0907754010695187,0.0843582898378372,0.0975935831665992,7480
A,Pointwise-alpha,1,0.0,0.0,0.0,3709
A,Pointwise-alpha,2,0.0,0.0,0.0,3709
A,Pointwise-alpha,3,0.0,0.0,0.0,3709
A,Pointwise-alpha,4,0.0,0.0,0.0,3709
A,Pointwise-alpha,5,0.0,0.0,0.0,3709
A,Pointwise-alpha,6,0.3087085467781073,0.2949514634907245,0.3224588930606842,3709
A,Pointwise-alpha,7,0.3480722566729576,0.3337759621441364,0.3629145421087741,3709
A,Pointwise-alpha,8,0.368293340523052,0.3534578032791614,0.3844701945781708,3709
A,Pointwise-alpha,9,0.3806956052844432,0.3655904479324817,0.3966028690338135,3709
A,Pointwise-alpha,10,0.3898624966298193,0.3747573442757129,0.4055001437664032,3709
A,Pointwise-alpha,11,0.394715556753842,0.379603673517704,0.4103531837463379,3709
A,Pointwise-alpha,12,0.3984901590725263,0.3831221461296081,0.4143974184989929,3709
A,Pointwise-alpha,13,0.3998382313291992,0.3842006027698517,0.4157454967498779,3709
A,Pointwise-alpha,14,0.4014559180372068,0.3860811538994312,0.4171002857387065,3709
A,Pointwise-alpha,15,0.401995146939876,0.3868899896740913,0.4176327884197235,3709
A,Pointwise-alpha,16,0.4022647613912106,0.3868967294692993,0.4181720018386841,3709
A,Pointwise-alpha,17,0.4030736047452143,0.3879751861095428,0.4184483639895915,3709
A,Pointwise-alpha,18,0.4036128336478835,0.3882448077201843,0.4192504584789276,3709
A,Pointwise-alpha,19,0.4036128336478835,0.3882448077201843,0.4192504584789276,3709
A,Pointwise-alpha,20,0.4038824480992181,0.3887840509414673,0.4195200800895691,3709
A,Pointwise-alpha,21,0.4046912914532219,0.3893232643604278,0.42006606310606,3709
A,Pointwise-alpha,22,0.4049609059045564,0.3898490265011787,0.4205985367298126,3709
A,Pointwise-alpha,23,0.4049609059045564,0.3898490265011787,0.4205985367298126,3709
A,Pointwise-alpha,24,0.4052305203558911,0.3901253595948219,0.4206052772700786,3709
A,Pointwise-alpha,25,0.4052305203558911,0.3901253595948219,0.4206052772700786,3709
A,Pointwise-alpha,26,0.4052305203558911,0.3901253595948219,0.4206052772700786,3709
A,Pointwise-alpha,27,0.4055001348072257,0.3901320993900299,0.4208748988807201,3709
A,Pointwise-alpha,28,0.4060393637098948,0.3909342236816883,0.421407401561737,3709
A,Pointwise-alpha,29,0.406578592612564,0.3914801776409149,0.4219466149806976,3709
A,Pointwise-alpha,30,0.4071178215152332,0.3920126803219318,0.4224858582019806,3709
A,Pointwise-alpha,31,0.4076570504179024,0.3922890126705169,0.4232946932315826,3709
A,Pointwise-alpha,32,0.407926664869237,0.3928215153515338,0.4235643148422241,3709
A,Pointwise-alpha,33,0.407926664869237,0.3928215153515338,0.4235643148422241,3709
A,Pointwise-alpha,34,0.4084658937719062,0.3933674991130829,0.4238339066505432,3709
A,Pointwise-alpha,35,0.4090051226745753,0.3939067125320434,0.4243798904120922,3709
A,Pointwise-alpha,36,0.4092747371259099,0.3941763341426849,0.4246427714824676,3709
A,Pointwise-alpha,37,0.4092747371259099,0.3941763341426849,0.4246427714824676,3709
A,Pointwise-alpha,38,0.4092747371259099,0.3941763341426849,0.4246427714824676,3709
A,Pointwise-alpha,39,0.4095443515772445,0.3944392152130603,0.4249123632907867,3709
A,Pointwise-alpha,40,0.4095443515772445,0.3944392152130603,0.4249123632907867,3709
A,Pointwise-alpha,41,0.4098139660285791,0.3944459557533264,0.4251819849014282,3709
A,Pointwise-alpha,42,0.4103531949312483,0.395780523866415,0.4254583470523357,3709
A,Pointwise-alpha,43,0.4114316527365866,0.3960636258125305,0.4267996847629547,3709
A,Pointwise-alpha,44,0.4117012671879212,0.3965961284935474,0.4268064245581627,3709
A,Pointwise-alpha,45,0.4119708816392559,0.3966028690338135,0.4273388981819153,3709
A,Pointwise-alpha,46,0.4119708816392559,0.3966028690338135,0.4273388981819153,3709
A,Pointwise-alpha,47,0.4122404960905904,0.397135341912508,0.4276085197925567,3709
A,Pointwise-alpha,48,0.4122404960905904,0.397135341912508,0.4276085197925567,3709
A,Pointwise-alpha,49,0.4122404960905904,0.397135341912508,0.4276085197925567,3709
