scenario,contrast,metric,mean_paired_difference,paired_sd,paired_mcse,mc_interval_lower,mc_interval_upper,n_pairs
S4,Local PaFAR-F m0=500 minus direct transfer,sens3,-0.11454500000000001,0.018823579076746193,0.0008418160479089443,-0.11619495945390154,-0.11289504054609847,500
S4,Local PaFAR-F m0=500 minus direct transfer,sens0,-0.133052,0.023211157050505832,0.001038034500027091,-0.1350865476200531,-0.1310174523799469,500
S4,Local PaFAR-F m0=500 minus direct transfer,premature,-0.104167,0.018984637049145173,0.0008490187794009924,-0.10583107680762593,-0.10250292319237406,500
S4,Local PaFAR-F m0=500 minus direct transfer,median_lead,-0.938,0.23931264296347635,0.010702386750829396,-0.9589766780316256,-0.9170233219683743,500
S4,Local PaFAR-F m0=500 minus direct transfer,ppv3_standardized,0.03130540003210912,0.008200122750227745,0.00036672063786703535,0.03058662758188973,0.03202417248232851,500
S4,Local PaFAR-F m0=500 minus direct transfer,alert_burden_100d,-15.617189223368516,2.7383382291554557,0.1224622085155599,-15.857215152059014,-15.377163294678018,500
S4,Local PaFAR-T m0=500 minus direct transfer,pfa,-0.1800344,0.029168307406394145,0.0013044463629861577,-0.18259111487145288,-0.17747768512854714,500
S4,Local PaFAR-T m0=500 minus direct transfer,long_stay_pfa,-0.22559520000000002,0.03749410717841155,0.001676787448131821,-0.22888170339833838,-0.22230869660166167,500
S4,Local PaFAR-T m0=500 minus direct transfer,sens3,-0.116727,0.01886944840652033,0.0008438673866980907,-0.11838098007792826,-0.11507301992207174,500
S4,Local PaFAR-T m0=500 minus direct transfer,sens0,-0.13691299999999998,0.02400674026510706,0.001073614063019214,-0.13901728356351764,-0.13480871643648232,500
S4,Local PaFAR-T m0=500 minus direct transfer,premature,-0.10477700000000001,0.019283762547697793,0.0008623960783723358,-0.1064672963136098,-0.10308670368639022,500
S4,Local PaFAR-T m0=500 minus direct transfer,median_lead,-0.938,0.23931264296347635,0.010702386750829396,-0.9589766780316256,-0.9170233219683743,500
S4,Local PaFAR-T m0=500 minus direct transfer,ppv3_standardized,0.029819491814787987,0.008002538450495734,0.00035788439935728595,0.029118038392047706,0.03052094523752827,500
S4,Local PaFAR-T m0=500 minus direct transfer,alert_burden_100d,-15.65078834634872,2.7129082407697855,0.12132494486161213,-15.88858523827748,-15.412991454419961,500
S4,Local PaFAR-HC m0=500 minus Local PaFAR-F m0=500,pfa,-0.021690399999999995,0.007111253595210256,0.0003180249288825981,-0.022313728860609887,-0.021067071139390103,500
S4,Local PaFAR-HC m0=500 minus Local PaFAR-F m0=500,long_stay_pfa,-0.029622400000000004,0.010314220500312086,0.0004612659634723943,-0.030526481288405898,-0.02871831871159411,500
S4,Local PaFAR-HC m0=500 minus Local PaFAR-F m0=500,sens3,-0.021572,0.007765205266163369,0.0003472705366876128,-0.022252650251907723,-0.02089134974809228,500
S4,Local PaFAR-HC m0=500 minus Local PaFAR-F m0=500,sens0,-0.03381699999999999,0.011410890756453301,0.0005103105483050715,-0.034817208674677934,-0.03281679132532205,500
S4,Local PaFAR-HC m0=500 minus Local PaFAR-F m0=500,premature,-0.011204,0.004282998032253642,0.0001915414949523396,-0.011579421330106586,-0.010828578669893415,500
S4,Local PaFAR-HC m0=500 minus Local PaFAR-F m0=500,median_lead,0.0,0.0,0.0,0.0,0.0,500
S4,Local PaFAR-HC m0=500 minus Local PaFAR-F m0=500,ppv3_standardized,0.005585599202238791,0.004211713916107679,0.00018835357236397232,0.0052164262004054055,0.005954772204072176,500
S4,Local PaFAR-HC m0=500 minus Local PaFAR-F m0=500,alert_burden_100d,-1.6677254087728366,0.5469820115186872,0.02446177920450715,-1.7156704960136706,-1.6197803215320026,500
E3,Local PaFAR-F m0=500 minus direct transfer,pfa,-0.03628279070116681,0.024651471383597606,0.003486244516313598,-0.04311582995314146,-0.029449751449192155,50
E3,Local PaFAR-F m0=500 minus direct transfer,long_stay_pfa,-0.037825576180627804,0.02724327415618063,0.0038527807795119082,-0.04537702650847114,-0.030274125852784464,50
E3,Local PaFAR-F m0=500 minus direct transfer,sens3,-0.011434533672240052,0.011147607689985184,0.0015765097983191656,-0.014524492876945617,-0.008344574467534487,50
E3,Local PaFAR-F m0=500 minus direct transfer,sens0,-0.023356145644873677,0.018790409598372984,0.0026573652096564654,-0.028564581455800347,-0.018147709833947007,50
E3,Local PaFAR-F m0=500 minus direct transfer,premature,-0.029659873715658334,0.028196671530517078,0.003987611529223658,-0.037475592312936706,-0.021844155118379963,50
E3,Local PaFAR-F m0=500 minus direct transfer,median_lead,-0.07,0.3500728787097956,0.04950778128903844,-0.16703525132651537,0.02703525132651534,50
E3,Local PaFAR-F m0=500 minus direct transfer,ppv3_standardized,0.002204257724230767,0.007345154752875318,0.0010387617469245474,0.00016828470025865433,0.00424023074820288,50
